"Namespace(predictor='pca', dist='cos', disable_tqdm=0, hps_path=None, data_sigma=1.0, emb_name='pca_emb_1000', layer_to_use=-2)"
trial_type,result
8choose2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
8choose2,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8choose2,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]"
8choose2,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8choose2,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
8choose2,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
8choose2,"[0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
8choose2,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1]"
8choose2,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]"
8choose2,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
8choose2,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
8choose2,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]"
8choose2,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]"
8choose2,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
8choose2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
8choose2,"[0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0]"
8choose2,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
8choose2,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
8choose2,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]"
8choose2,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]"
8choose2,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
8choose2,"[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]"
8choose2,"[1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]"
8choose2,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1]"
8choose2,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
8choose2,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
